         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1763    0.002    0.000    0.004    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:477(__getattr__)
       71    0.000    0.000    0.004    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1983(__init__)
36103/36002    0.002    0.000    0.004    0.000 {built-in method builtins.len}
        4    0.000    0.000    0.004    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3370(__init__)
       71    0.000    0.000    0.003    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:164(decode_layer4)
     1113    0.001    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:249(getfield)
       10    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:702(__init__)
       71    0.000    0.000    0.003    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:192(decode_layer7)
       68    0.001    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:299(loads)
     9041    0.003    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:509(__setattr__)
      210    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:607(__bytes__)
       71    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1324(insert)
      210    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:761(build)
       71    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2006(yview_moveto)
        7    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:570(__init__)
        1    0.000    0.000    0.003    0.003 C:\Users\corys\source\repos\PcapAnalyzer\main.py:875(add_protocol_filters)
       79    0.000    0.000    0.003    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:425(set)
        1    0.000    0.000    0.003    0.003 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\typing.py:1180(__call__)
        1    0.000    0.000    0.002    0.002 C:\Users\corys\source\repos\PcapAnalyzer\main.py:889(add_export_options)
       79    0.002    0.000    0.002    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      321    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2404(getfield)
  636/210    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:739(do_build)
    16593    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      482    0.001    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
       34    0.001    0.000    0.002    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1777(process_internal_commands)
        2    0.000    0.000    0.002    0.001 C:\Users\corys\source\repos\PcapAnalyzer\main.py:468(__init__)
       14    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:226(compile)
       72    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:132(select)
       89    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:42(_format_optdict)
       14    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
      142    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2615(i2repr)
       71    0.000    0.000    0.002    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:110(get_timestamp)
       71    0.000    0.000    0.002    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:334(identify_protocols)
  636/210    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:730(do_build_payload)
      9/1    0.000    0.000    0.002    0.002 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\windows\structures.py:66(_resolve_list)
        1    0.000    0.000    0.002    0.002 C:\Users\corys\source\repos\PcapAnalyzer\main.py:733(setup_protocol_analysis_frame)
      142    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2594(i2repr_one)
   175/35    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\windows\structures.py:76(_struct_to_dict)
        7    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:740(compile)
       72    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\automaton.py:64(select_objects)
      287    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:256(init_fields)
       68    0.001    0.000    0.002    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:1777(analyze_packet_for_location)
       89    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:32(_format_optvalue)
     8680    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:453(getfieldval)
     2087    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:465(getfield_and_val)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\automaton.py:160(__init__)
       71    0.001    0.000    0.001    0.000 {method 'strftime' of 'datetime.date' objects}
     1392    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
        7    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\scrolledtext.py:21(__init__)
      624    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:693(self_build)
       71    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:58(_join)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py:71(search_function)
        1    0.000    0.000    0.001    0.001 {built-in method nt.pipe}
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
      175    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
      287    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1795(__new__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
