         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15014    0.002    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1282(<lambda>)
       12    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:611(__div__)
      438    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2991(__init__)
    26/24    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:420(copy)
      454    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3199(_fixup_val)
      430    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:813(m2i)
    14392    0.002    0.000    0.002    0.000 {built-in method math.log2}
      410    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:902(i2repr)
      432    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:692(deletecommand)
     1253    0.002    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:872(i2h)
      430    0.002    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\utils.py:676(str2mac)
        1    0.000    0.000    0.002    0.002 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py:71(search_function)
  467/453    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:262(do_copy)
      621    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:932(i2h)
      757    0.000    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:666(<lambda>)
      211    0.001    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\base64.py:65(b64decode)
       25    0.001    0.000    0.002    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1777(process_internal_commands)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     2201    0.002    0.000    0.002    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\config.py:1121(__getattribute__)
     4906    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      205    0.001    0.000    0.001    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:621(identify_file_signature)
     7826    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1315(<lambda>)
     4743    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1314    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3117(__setattr__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
      211    0.001    0.000    0.001    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:391(decode_ip_flags)
     6597    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:368(get_field)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
     2592    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      621    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:527(i2h)
     1690    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\config.py:194(__contains__)
     4913    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      215    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:299(dispatch_hook)
     3335    0.001    0.000    0.001    0.000 {method 'unpack' of '_struct.Struct' objects}
      211    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:548(<lambda>)
      219    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3131(copy)
      211    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:564(extract_padding)
       15    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:332(decode)
      438    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3025(__ne__)
      876    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2978(_fixvalue)
      215    0.001    0.000    0.001    0.000 {built-in method fromtimestamp}
  900/250    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:357(dissection_done)
      632    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
      432    0.001    0.000    0.001    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
      437    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:894(m2i)
       25    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:314(can_exit)
      410    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:876(resolve)
     2751    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     3913    0.001    0.000    0.001    0.000 {method 'startswith' of 'bytes' objects}
        8    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:809(mysummary)
 1923/641    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:757(build_padding)
 1938/641    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:784(build_done)
      925    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFFF41358F0}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      211    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:244(detect_encoding)
    78/72    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:656(copy_fields_dict)
      227    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3072(__str__)
     2540    0.001    0.000    0.001    0.000 {method 'index' of 'str' objects}
       50    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:107(new_threading_enumerate)
      210    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1997(mysummary)
      437    0.001    0.000    0.001    0.000 {built-in method _socket.inet_ntoa}
     2356    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.001    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:243(decode_dns)
      207    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:850(extract_padding)
  218/204    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:652(copy_field_value)
      939    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      205    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1112(default_payload_class)
      227    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3219(i2h)
       88    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:619(fld)
      215    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:394(notify)
     5873    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\typing.py:2182(cast)
       25    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1480(has_user_threads_alive)
      360    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:299(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       88    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:531(_find_fld)
      360    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:302(__exit__)
       15    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:343(raw_decode)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      662    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:398(add_underlayer)
     4529    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:203(i2h)
      223    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1462(getfield)
      433    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      142    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:209(_qsize)
       87    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:490(_iterate_fields_cond)
       76    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:508(_find_fld_pkt)
     3042    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1333(<genexpr>)
      796    0.000    0.000    0.000    0.000 {method 'hex' of 'bytes' objects}
       24    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:267(do_init_fields)
      312    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:314(_is_owned)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       35    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1247(i2h)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_32_le.py:1(<module>)
       25    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:139(get_non_pydevd_threads)
      923    0.000    0.000    0.000    0.000 {built-in method time.time}
      215    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:231(i2h)
      211    0.000    0.000    0.000    0.000 {built-in method binascii.a2b_base64}
      811    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:982(i2repr)
      216    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:128(fileno)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       98    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    70/25    0.001    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
       12    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:561(getfield)
       97    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:311(_acquire_restore)
      432    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2634    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1918(haslayer)
      215    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:213(_put)
      380    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2590(_i2repr)
      360    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      163    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\copy.py:118(deepcopy)
        6    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1311(mysummary)
      100    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1721(notify_thread_created)
       21    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:371(getfield)
      241    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      211    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\base64.py:34(_bytes_from_decode_data)
      215    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\l2.py:199(i2h)
      597    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       16    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:534(__delattr__)
      460    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
  603/215    1.061    0.002    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       25    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:438(empty)
       71    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1176(<lambda>)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\utils6.py:537(in6_isaddrTeredo)
      216    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      209    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      939    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1803(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:392(remove_payload)
      216    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
      438    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3059(__nonzero__)
      211    0.000    0.000    0.000    0.000 {built-in method fromhex}
      312    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       33    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:124(dns_get_str)
      888    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1012(pre_dissect)
      900    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:363(post_dissection)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      431    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1957(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      894    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1007(post_dissect)
       25    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:36(py_db)
       13    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:31(__init__)
       25    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:97(empty)
        6    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:457(get_dns_rdata)
      216    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:55(<lambda>)
       20    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1395(__contains__)
       16    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:997(<lambda>)
      432    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\automaton.py:192(fileno)
      641    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1860(do_build)
       97    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
       97    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:308(_release_save)
      215    0.000    0.000    0.000    0.000 {built-in method builtins.hex}
        4    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_32_le.py:10(decode)
        2    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:316(prepare_cached_fields)
       25    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1596(get_internal_queue_and_event)
       24    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:964(i2h)
      641    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1868(build_padding)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:2141(getfield)
       24    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\pton_ntop.py:83(inet_pton)
       21    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:364(get_full)
      125    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydev_bundle\pydev_is_thread_alive.py:9(is_thread_alive)
       88    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1771(currentframe)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      641    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1872(build_done)
      470    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:997(extract_padding)
       25    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:627(clear)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:974(m2i)
      216    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:422(fileno)
      514    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:643(__nonzero__)
      423    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3001(__int__)
      215    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\sessions.py:45(process)
       12    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1021(i2h)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\pton_ntop.py:133(inet_ntop)
      137    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\utils6.py:523(in6_isaddr6to4)
       12    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1042(i2h)
       11    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:583(i2h)
      100    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1001(<lambda>)
      216    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1949(_do_summary)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
       25    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:1485(current_thread)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet.py:394(getfield)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        4    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\inet6.py:345(extract_padding)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      100    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:692(__enter__)
      100    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:658(get_thread_id)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3223(i2repr)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:378(decode_tcp_flags)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1004(<lambda>)
      211    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1656(mysummary)
       24    0.000    0.000    0.000    0.000 {built-in method _socket.inet_pton}
       11    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:517(_find_fld_pkt_val)
       39    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      250    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1807(dissection_done)
       50    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1631(check_output_redirect)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        8    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1009(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_32_le.py:13(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       16    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:402(remove_underlayer)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1992(getfield)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_32_le.py:28(getregentry)
      100    0.000    0.000    0.000    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:695(__exit__)
        2    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\layers\dns.py:1019(extract_padding)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       97    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _socket.inet_ntop}
       12    0.000    0.000    0.000    0.000 C:\Users\corys\source\repos\PcapAnalyzer\main.py:444(get_dns_type)
